#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0009615	Response to virus	29	356	1.03	2.5	1.14e-16	9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359504,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000435460,9606.ENSP00000476480,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	OAS3,NMI,DHX58,BST2,OASL,DTX3L,FADD,ISG20,MX2,OAS2,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,RSAD2,LGALS9,MX1,OAS1,LGALS8,NT5C3A,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0051607	Defense response to virus	25	252	1.11	2.66	4.54e-16	9606.ENSP00000228928,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359504,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000476480,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	OAS3,DHX58,BST2,OASL,DTX3L,FADD,ISG20,MX2,OAS2,PARP9,GBP1,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,RSAD2,MX1,OAS1,NT5C3A,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0045071	Negative regulation of viral genome replication	13	56	1.48	2.58	1.63e-11	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000360869,9606.ENSP00000371471,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000434776,9606.ENSP00000484689,9606.ENSP00000496832	OAS3,BST2,OASL,N4BP1,ISG20,OAS2,IFIT1,RSAD2,MX1,OAS1,PARP10,IFITM2,ISG15
GO Process	GO:0098542	Defense response to other organism	35	989	0.67	1.31	9.67e-11	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000376840,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000433209,9606.ENSP00000435460,9606.ENSP00000464087,9606.ENSP00000476480,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	SLC15A3,OAS3,NMI,DHX58,BST2,OASL,N4BP1,DTX3L,FADD,ISG20,MX2,OAS2,PARP9,GBP4,GBP1,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,RSAD2,BPGM,LGALS9,MX1,OAS1,PARP14,GSDMD,LGALS8,RNF213,NT5C3A,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0048525	Negative regulation of viral process	14	94	1.29	2.17	2.13e-10	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000360869,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000434776,9606.ENSP00000484689,9606.ENSP00000496832	OAS3,BST2,OASL,N4BP1,ISG20,OAS2,IFIT1,TRIM5,RSAD2,MX1,OAS1,PARP10,IFITM2,ISG15
GO Process	GO:0045087	Innate immune response	30	754	0.72	1.35	3.68e-10	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000433209,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	SLC15A3,OAS3,NMI,DHX58,BST2,OASL,N4BP1,DTX3L,FADD,ISG20,MX2,OAS2,PARP9,GBP4,GBP1,IFIT1,IFIT3,DDX58,TRIM5,RSAD2,LGALS9,MX1,OAS1,PARP14,GSDMD,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0050792	Regulation of viral process	16	161	1.12	1.88	7.68e-10	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000360869,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000421380,9606.ENSP00000434776,9606.ENSP00000484689,9606.ENSP00000496832	OAS3,BST2,OASL,N4BP1,ISG20,OAS2,IFIT1,TRIM5,RSAD2,LGALS9,MX1,OAS1,SNF8,PARP10,IFITM2,ISG15
GO Process	GO:1903900	Regulation of viral life cycle	15	139	1.15	1.89	1.15e-09	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000360869,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000434776,9606.ENSP00000484689,9606.ENSP00000496832	OAS3,BST2,OASL,N4BP1,ISG20,OAS2,IFIT1,TRIM5,RSAD2,LGALS9,MX1,OAS1,PARP10,IFITM2,ISG15
GO Process	GO:0051707	Response to other organism	38	1328	0.57	1.1	1.72e-09	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000256722,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000264346,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000376840,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000433209,9606.ENSP00000435460,9606.ENSP00000464087,9606.ENSP00000476480,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	SLC15A3,OAS3,NMI,DHX58,BST2,CMPK2,OASL,N4BP1,HERC6,DTX3L,FADD,ISG20,MX2,OAS2,PARP9,GBP4,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,RSAD2,BPGM,LGALS9,MX1,OAS1,PARP14,GSDMD,LGALS8,RNF213,NT5C3A,IFITM2,TREX1,IFIT2,ISG15,MYD88
GO Process	GO:0044419	Biological process involved in interspecies interaction between organisms	40	1490	0.55	1.05	2.28e-09	9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000243346,9606.ENSP00000251642,9606.ENSP00000252593,9606.ENSP00000256722,9606.ENSP00000257570,9606.ENSP00000262384,9606.ENSP00000264346,9606.ENSP00000296161,9606.ENSP00000301838,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359490,9606.ENSP00000359504,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000362649,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000371471,9606.ENSP00000376840,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000429754,9606.ENSP00000433209,9606.ENSP00000435460,9606.ENSP00000464087,9606.ENSP00000476480,9606.ENSP00000484689,9606.ENSP00000486676,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000498321	SLC15A3,OAS3,NMI,DHX58,BST2,CMPK2,OASL,N4BP1,HERC6,DTX3L,FADD,ISG20,MX2,OAS2,PARP9,GBP4,GBP1,IFI44,IFI44L,IFIT1,IFIT3,HDAC1,DDX58,TRIM5,RSAD2,BPGM,LGALS9,MX1,OAS1,PARP14,SLC20A2,GSDMD,LGALS8,RNF213,NT5C3A,IFITM2,TREX1,IFIT2,ISG15,MYD88
