#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0009615	Response to virus	23	356	1.21	2.79	1.71e-17	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000305161,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000345494,9606.ENSP00000353512,9606.ENSP00000359504,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,OASL,DTX3L,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,LGALS9,MX1,OAS1,IFIT2,ISG15,IFIH1
GO Process	GO:0051607	Defense response to virus	21	252	1.32	3.13	1.71e-17	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000305161,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000345494,9606.ENSP00000353512,9606.ENSP00000359504,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,OASL,DTX3L,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,MX1,OAS1,IFIT2,ISG15,IFIH1
GO Process	GO:0044419	Biological process involved in interspecies interaction between organisms	32	1490	0.73	1.28	1.58e-12	9606.ENSP00000220751,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000256722,9606.ENSP00000257570,9606.ENSP00000264346,9606.ENSP00000296161,9606.ENSP00000296181,9606.ENSP00000296754,9606.ENSP00000305161,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000345494,9606.ENSP00000353512,9606.ENSP00000359504,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000420127,9606.ENSP00000464087,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	RIPK2,SLC15A3,OAS3,BST2,CMPK2,OASL,HERC6,DTX3L,ITGB5,ERAP1,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,LGALS9,MX1,OAS1,PARP14,RAB9A,RNF213,IFIT2,ISG15,IFIH1
GO Process	GO:0051707	Response to other organism	30	1328	0.76	1.31	4.01e-12	9606.ENSP00000220751,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000256722,9606.ENSP00000257570,9606.ENSP00000264346,9606.ENSP00000296161,9606.ENSP00000296754,9606.ENSP00000305161,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000345494,9606.ENSP00000353512,9606.ENSP00000359504,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000464087,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	RIPK2,SLC15A3,OAS3,BST2,CMPK2,OASL,HERC6,DTX3L,ERAP1,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,LGALS9,MX1,OAS1,PARP14,RNF213,IFIT2,ISG15,IFIH1
GO Process	GO:0045071	Negative regulation of viral genome replication	11	56	1.7	3.02	4.16e-12	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000345494,9606.ENSP00000360869,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,OASL,ISG20,OAS2,PLSCR1,IFIT1,MX1,OAS1,ISG15,IFIH1
GO Process	GO:0098542	Defense response to other organism	26	989	0.82	1.42	1.01e-11	9606.ENSP00000220751,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000305161,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000345494,9606.ENSP00000353512,9606.ENSP00000359504,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000464087,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	RIPK2,SLC15A3,OAS3,BST2,OASL,DTX3L,TRIM56,ISG20,MX2,OAS2,PLSCR1,PARP9,GBP1,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,LGALS9,MX1,OAS1,PARP14,RNF213,IFIT2,ISG15,IFIH1
GO Process	GO:0048525	Negative regulation of viral process	12	94	1.51	2.66	1.50e-11	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000345494,9606.ENSP00000360869,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,OASL,ISG20,OAS2,PLSCR1,IFIT1,TRIM5,MX1,OAS1,ISG15,IFIH1
GO Process	GO:0045087	Innate immune response	23	754	0.89	1.52	2.15e-11	9606.ENSP00000220751,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000305161,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000359504,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	RIPK2,SLC15A3,OAS3,BST2,OASL,DTX3L,TRIM56,ISG20,MX2,OAS2,PARP9,GBP1,IFIT1,IFIT3,DDX58,TRIM5,LGALS9,MX1,OAS1,PARP14,IFIT2,ISG15,IFIH1
GO Process	GO:1903900	Regulation of viral life cycle	13	139	1.37	2.39	3.64e-11	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000306565,9606.ENSP00000342278,9606.ENSP00000345494,9606.ENSP00000360869,9606.ENSP00000369373,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,OASL,ISG20,OAS2,PLSCR1,IFIT1,TRIM5,LGALS9,MX1,OAS1,ISG15,IFIH1
GO Process	GO:0006952	Defense response	28	1394	0.71	1.14	2.86e-10	9606.ENSP00000220751,9606.ENSP00000227880,9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000305161,9606.ENSP00000306565,9606.ENSP00000333657,9606.ENSP00000337354,9606.ENSP00000342278,9606.ENSP00000345494,9606.ENSP00000353512,9606.ENSP00000359504,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369373,9606.ENSP00000378856,9606.ENSP00000381601,9606.ENSP00000388001,9606.ENSP00000418194,9606.ENSP00000464087,9606.ENSP00000478874,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	RIPK2,SLC15A3,OAS3,BST2,OASL,DTX3L,TRIM56,ISG20,MX2,LIPA,OAS2,PLSCR1,PARP9,GBP1,IFI44L,IFIT1,IFIT3,DDX58,TRIM5,LGALS9,MX1,OAS1,PARP14,RNF213,CAMK1D,IFIT2,ISG15,IFIH1
