#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051607	Defense response to virus	26	252	1.15	2.87	2.52e-17	9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000355279,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	UNC93B1,OAS3,BST2,SHFL,OASL,DTX3L,STAT2,APOBEC3B,MX2,OAS2,PARP9,STAT1,CNOT7,IFIT5,IFIT1,IFIT3,DDX58,TRIM22,TRIM5,MX1,IFITM3,ARMC5,OAS1,IFIT2,ISG15,IFIH1
GO Process	GO:0009615	Response to virus	27	356	1.01	2.35	2.14e-15	9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000355279,9606.ENSP00000359783,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	UNC93B1,OAS3,BST2,SHFL,OASL,DTX3L,STAT2,APOBEC3B,MX2,OAS2,PARP9,STAT1,CNOT7,IFI44,IFIT5,IFIT1,IFIT3,DDX58,TRIM22,TRIM5,MX1,IFITM3,ARMC5,OAS1,IFIT2,ISG15,IFIH1
GO Process	GO:0045071	Negative regulation of viral genome replication	13	56	1.5	2.64	9.57e-12	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000327459,9606.ENSP00000342278,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,SHFL,OASL,APOBEC3B,OAS2,IFIT5,IFIT1,MX1,IFITM3,OAS1,ISG15,IFIH1
GO Process	GO:0048525	Negative regulation of viral process	15	94	1.34	2.46	9.57e-12	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000327459,9606.ENSP00000342278,9606.ENSP00000354394,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,SHFL,OASL,APOBEC3B,OAS2,STAT1,IFIT5,IFIT1,TRIM5,MX1,IFITM3,OAS1,ISG15,IFIH1
GO Process	GO:0045069	Regulation of viral genome replication	14	86	1.34	2.35	4.12e-11	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000327459,9606.ENSP00000342278,9606.ENSP00000355279,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,SHFL,OASL,APOBEC3B,OAS2,CNOT7,IFIT5,IFIT1,MX1,IFITM3,OAS1,ISG15,IFIH1
GO Process	GO:0050792	Regulation of viral process	17	161	1.16	2.12	4.12e-11	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000327459,9606.ENSP00000342278,9606.ENSP00000354394,9606.ENSP00000355279,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,SHFL,OASL,APOBEC3B,OAS2,STAT1,CNOT7,IFIT5,IFIT1,TRIM22,TRIM5,MX1,IFITM3,OAS1,ISG15,IFIH1
GO Process	GO:1903900	Regulation of viral life cycle	16	139	1.19	2.15	5.59e-11	9606.ENSP00000228928,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000327459,9606.ENSP00000342278,9606.ENSP00000355279,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000496832,9606.ENSP00000497271	OAS3,BST2,SHFL,OASL,APOBEC3B,OAS2,CNOT7,IFIT5,IFIT1,TRIM22,TRIM5,MX1,IFITM3,OAS1,ISG15,IFIH1
GO Process	GO:0045087	Innate immune response	28	754	0.7	1.25	4.31e-09	9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000418194,9606.ENSP00000454264,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	UNC93B1,OAS3,KRT1,BST2,SHFL,OASL,DTX3L,STAT2,APOBEC3B,MX2,OAS2,PARP9,STAT1,IFIT5,IFIT1,IFIT3,DDX58,TRIM22,TRIM5,MX1,IFITM3,OAS1,IFI35,PARP14,NUB1,IFIT2,ISG15,IFIH1
GO Process	GO:0098542	Defense response to other organism	30	989	0.62	1.04	7.57e-08	9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000296161,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000333657,9606.ENSP00000342278,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000355279,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000418194,9606.ENSP00000454264,9606.ENSP00000490935,9606.ENSP00000496832,9606.ENSP00000497271	UNC93B1,OAS3,KRT1,BST2,SHFL,OASL,DTX3L,STAT2,APOBEC3B,MX2,OAS2,PARP9,STAT1,CNOT7,IFIT5,IFIT1,IFIT3,DDX58,TRIM22,TRIM5,MX1,IFITM3,ARMC5,OAS1,IFI35,PARP14,NUB1,IFIT2,ISG15,IFIH1
GO Process	GO:0002376	Immune system process	44	2121	0.45	0.83	2.03e-07	9606.ENSP00000216416,9606.ENSP00000227471,9606.ENSP00000228928,9606.ENSP00000252244,9606.ENSP00000252593,9606.ENSP00000253110,9606.ENSP00000257570,9606.ENSP00000294728,9606.ENSP00000296161,9606.ENSP00000303315,9606.ENSP00000315768,9606.ENSP00000327459,9606.ENSP00000328169,9606.ENSP00000333657,9606.ENSP00000337354,9606.ENSP00000342278,9606.ENSP00000345728,9606.ENSP00000346206,9606.ENSP00000348769,9606.ENSP00000353512,9606.ENSP00000354394,9606.ENSP00000359783,9606.ENSP00000360860,9606.ENSP00000360869,9606.ENSP00000360876,9606.ENSP00000364032,9606.ENSP00000369213,9606.ENSP00000369299,9606.ENSP00000369373,9606.ENSP00000381601,9606.ENSP00000382707,9606.ENSP00000383996,9606.ENSP00000384886,9606.ENSP00000386125,9606.ENSP00000388001,9606.ENSP00000395590,9606.ENSP00000416250,9606.ENSP00000417052,9606.ENSP00000418194,9606.ENSP00000454264,9606.ENSP00000490935,9606.ENSP00000495631,9606.ENSP00000496832,9606.ENSP00000497271	CNIH1,UNC93B1,OAS3,KRT1,BST2,SHFL,OASL,VCAM1,DTX3L,JUNB,STAT2,APOBEC3B,JAG2,MX2,LIPA,OAS2,ATP7A,TAP1,ARIH2,PARP9,STAT1,IFI44,IFIT5,IFIT1,IFIT3,TAP2,DDX58,TRIM22,TRIM5,MX1,IFITM3,CERT1,IFI30,ARMC5,OAS1,IFI35,EIF2B1,EBP,PARP14,NUB1,IFIT2,ARHGEF7,ISG15,IFIH1
